0.2022, 0.2572, 0.3493, 1.0000,
0.1877, 0.2344, 0.3100, 1.0000,
0.1392, 0.2182, 0.3762, 1.0000,
0.1506, 0.1356, 0.1213, 1.0000,
0.1884, 0.2347, 0.3083, 1.0000,
0.2135, 0.2742, 0.3764, 1.0000,

0.2022, 0.2572, 0.3493, 1.0000,
0.1877, 0.2344, 0.3100, 1.0000,
0.1392, 0.2182, 0.3762, 1.0000,
0.1506, 0.1356, 0.1213, 1.0000,
0.1884, 0.2347, 0.3083, 1.0000,
0.2135, 0.2742, 0.3764, 1.0000,

0.2022, 0.2572, 0.3493, 1.0000,
0.1877, 0.2344, 0.3100, 1.0000,
0.1392, 0.2182, 0.3762, 1.0000,
0.1506, 0.1356, 0.1213, 1.0000,
0.1884, 0.2347, 0.3083, 1.0000,
0.2135, 0.2742, 0.3764, 1.0000,

0.2022, 0.2572, 0.3493, 1.0000,
0.1877, 0.2344, 0.3100, 1.0000,
0.1392, 0.2182, 0.3762, 1.0000,
0.1506, 0.1356, 0.1213, 1.0000,
0.1884, 0.2347, 0.3083, 1.0000,
0.2135, 0.2742, 0.3764, 1.0000,

0.2022, 0.2572, 0.3493, 1.0000,
0.1877, 0.2344, 0.3100, 1.0000,
0.1392, 0.2182, 0.3762, 1.0000,
0.1506, 0.1356, 0.1213, 1.0000,
0.1884, 0.2347, 0.3083, 1.0000,
0.2135, 0.2742, 0.3764, 1.0000,

